"Date","Price","Open","High","Low","Vol.","Change %"
"12/07/1998","9,070.46","9,017.17","9,084.11","9,003.78","53.31M","0.60%"
"12/04/1998","9,016.14","8,879.68","9,025.15","8,879.68","69.61M","1.54%"
"12/03/1998","8,879.68","9,064.80","9,082.57","8,871.45","78.46M","-2.04%"
"12/02/1998","9,064.54","9,129.78","9,129.78","8,955.12","92.35M","-0.76%"
"12/01/1998","9,133.54","9,116.55","9,141.27","8,987.82","87.73M","0.19%"
"11/30/1998","9,116.55","9,333.08","9,333.08","9,116.55","72.22M","-2.32%"
"11/27/1998","9,333.07","9,311.85","9,346.21","9,304.50","29.01M","0.20%"
"11/25/1998","9,314.28","9,300.78","9,318.15","9,252.49","58.20M","0.14%"
"11/24/1998","9,301.15","9,371.52","9,380.20","9,289.05","81.14M","-0.78%"
"11/23/1998","9,374.27","9,159.55","9,374.27","9,159.29","84.08M","2.34%"
"11/20/1998","9,159.54","9,058.62","9,161.35","9,058.62","75.92M","1.14%"
"11/19/1998","9,056.05","9,039.83","9,087.72","9,010.73","64.21M","0.17%"
"11/18/1998","9,041.11","8,978.62","9,041.11","8,957.18","63.44M","0.61%"
"11/17/1998","8,986.29","9,010.99","9,103.16","8,929.12","83.80M","-0.28%"
"11/16/1998","9,011.24","8,921.14","9,030.30","8,920.88","68.03M","1.03%"
"11/13/1998","8,919.59","8,830.61","8,925.51","8,829.84","56.06M","1.02%"
"11/12/1998","8,829.75","8,822.32","8,907.75","8,810.94","58.85M","0.07%"
"11/11/1998","8,823.82","8,863.98","8,936.07","8,792.66","71.30M","-0.45%"
"11/10/1998","8,863.97","8,895.17","8,928.35","8,854.71","72.80M","-0.38%"
"11/09/1998","8,897.96","8,971.97","8,985.50","8,845.96","61.02M","-0.86%"
"11/06/1998","8,975.46","8,915.34","8,990.91","8,897.19","67.75M","0.67%"
"11/05/1998","8,915.47","8,782.11","8,917.27","8,714.91","78.00M","1.51%"
"11/04/1998","8,783.14","8,708.47","8,854.45","8,708.47","87.02M","0.88%"
"11/03/1998","8,706.15","8,706.67","8,744.52","8,677.58","75.34M","0.00%"
"11/02/1998","8,706.15","8,595.70","8,742.97","8,595.70","80.84M","1.33%"
"10/30/1998","8,592.11","8,498.12","8,659.81","8,498.12","70.95M","1.14%"
"10/29/1998","8,495.03","8,371.22","8,496.32","8,352.40","61.42M","1.47%"
"10/28/1998","8,371.97","8,365.27","8,432.98","8,328.71","61.66M","0.07%"
"10/27/1998","8,366.04","8,433.24","8,533.14","8,346.22","75.88M","-0.78%"
"10/26/1998","8,432.21","8,448.95","8,521.04","8,408.01","57.13M","-0.24%"
"10/23/1998","8,452.29","8,531.34","8,531.34","8,426.81","64.44M","-0.95%"
"10/22/1998","8,533.14","8,519.03","8,555.79","8,422.17","71.46M","0.16%"
"10/21/1998","8,519.23","8,504.67","8,561.97","8,446.12","81.66M","0.16%"
"10/20/1998","8,505.85","8,471.86","8,652.86","8,471.86","99.75M","0.47%"
"10/19/1998","8,466.45","8,415.48","8,515.37","8,388.96","72.63M","0.59%"
"10/16/1998","8,416.76","8,300.39","8,429.38","8,300.39","126.79M","1.41%"
"10/15/1998","8,299.36","7,966.97","8,347.46","7,920.12","99.69M","4.15%"
"10/14/1998","7,968.79","7,938.14","8,048.33","7,878.15","80.57M","0.39%"
"10/13/1998","7,938.14","8,002.50","8,009.97","7,884.59","78.69M","-0.79%"
"10/12/1998","8,001.47","7,900.55","8,084.64","7,900.55","74.37M","1.29%"
"10/09/1998","7,899.53","7,734.74","7,917.28","7,666.51","101.64M","2.17%"
"10/08/1998","7,731.91","7,734.48","7,756.37","7,467.49","138.48M","-0.13%"
"10/07/1998","7,741.70","7,745.18","7,858.32","7,629.18","105.82M","-0.02%"
"10/06/1998","7,742.98","7,733.97","7,880.98","7,683.51","91.56M","0.22%"
"10/05/1998","7,726.24","7,787.01","7,788.04","7,551.68","98.08M","-0.75%"
"10/02/1998","7,784.70","7,631.24","7,818.16","7,530.31","102.73M","1.99%"
"10/01/1998","7,632.53","7,841.33","7,841.33","7,582.84","100.93M","-2.68%"
"09/30/1998","7,842.62","8,079.49","8,079.49","7,825.37","87.64M","-2.94%"
"09/29/1998","8,080.52","8,109.87","8,150.55","8,015.63","81.20M","-0.35%"
"09/28/1998","8,108.83","8,026.17","8,160.33","8,026.17","74.48M","1.00%"
"09/25/1998","8,028.77","8,001.99","8,086.44","7,889.99","79.14M","0.33%"
"09/24/1998","8,001.98","8,152.35","8,182.47","7,935.82","83.18M","-1.87%"
